cluster_id,size,volume_score,primary_zip,earliest_date,latest_date,representative_text,sources,urls,source_count
46,2,0.02,7060,2026-01-20T00:00:00,2026-01-20,"On His Way Out, New Jersey Governor Vetoes Legislation to Bar Local Assistance to ICE - boltsmag.org. On His Way Out, New Jersey Governor Vetoes Legislation to Bar Local Assistance to ICE boltsmag.org",['Google News'],"['https://news.google.com/rss/articles/CBMifEFVX3lxTE51SDVTMk9JTmhOa2xTSkpkRXRTM0FDREdVazB5XzJubl9HSmgzdzZqaHpFeXZMNExYcGQyUkJzSXFwb3dwWV9EX0lpSE1aV25CMmVETUxQd0hqWFRFb1kwd0oyZ1liRkxscDBPMVQ4dnpYa3VOcjVYVkdtckc?oc=5', 'https://news.google.com/rss/articles/CBMiigFBVV95cUxPMVF4WGhIQVlGV1NNOXZvbWR1WmxGS0Ewc3NiRWppY2xvTmNsaDNKR19yc2dGZnZaMEs2dkMwNWViNldQME5JbzhCT0syMnpUZTBtY2VrTUQwYmhnc2RJZk1RMWV5OUkwZ2V4MUZodEwzdkdUdEdGQTlOWXBMZUp6bzFxSmdDYjhLLVE?oc=5']",1
35,2,0.02,7060,2026-01-16T00:00:00,2026-01-22,Immigrant protection bills await Murphy’s signature as ICE raids continue in NJ - NJ Spotlight News. Immigrant protection bills await Murphy’s signature as ICE raids continue in NJ NJ Spotlight News,['Google News'],"['https://news.google.com/rss/articles/CBMiuwFBVV95cUxQclVxcU0xR3BrY2gxN0FPa2JJU1FmMkRjYmYwZHp2aS1keVhnZXEyMzJuMmJ1eDZJd2dLd1FjaURzVjhoRGRLYUM5NzhPdDFnVy1LbzQwMXBVS1BzQ3lqZ2tGT0NMN2FiQzd0aWhOM1p5eUFuS2k5ODE1Zkk2MkE2RDd3SUZhQ3R2SVpxLTlGRzNOOXVVSm1RUXpYMktyUzVtWkxmaS1MYzliRDIydklMMkRzUHlvRU16Q25j?oc=5', 'https://news.google.com/rss/articles/CBMixAFBVV95cUxPOGpoVVNvM3A5SHhwN1J1VVZHVjBZVGJ6NjhiYmRaRXQ2R2xwOVE1YTR5NElaSHl2UkZmWVlRdFZ0UXhsbEhPRm5FaVdMemkzcHk3Nm5EX2kxTk56a2VUVC0yd3MyeUdSNzgzdWZWeTZNOGw5aUNINWlPV3RlbFZLd2oyTGNnaHlLYWpvdmJkdnRGaFRHV1FLUUxqU0FVbUczVHJLcUNGc1pFcEpQeC1vM1h5RFJ0RmxIWFpSNkJzakt1U2E3?oc=5']",2
68,2,0.02,7960,2026-01-15T00:00:00,2026-01-21,Morristown residents gather for 'know your rights' session in response to ICE raids - News12 | New Jersey. Morristown residents gather for 'know your rights' session in response to ICE raids News12 | ,['Google News'],"['https://news.google.com/rss/articles/CBMi0wFBVV95cUxPS1R3LXFGQU1DYTVCMGJKUDRvN2NZaG1IQVEyVWRFY00xdUVfQVY5YWlZM3dVOHVxS01nSDRzRzNNV0dFMFI2ZFRQSXdRbVpraTVyQjFhcjJPd0g5bmdWQVFTNDNicWNPa1plREk0WkVVN21hUHR6anJrZlVEb2k2ZDZsX3NaeWgxeDNsZnJXbDVHaExlUnYwZmtaT0xWcjd5VmJiUVJ6UkVWWlRNa08xWTFBRnF4SzVOQ0FSbDJibkJuN1hlNHd6Y1ZPMU1razBQZURr?oc=5', 'https://news.google.com/rss/articles/CBMipgFBVV95cUxNR05lakJLUFBxZ3MzNDdxNnc5VGlSYU5NTjBuRWI2ZWdXdi00MmUzcEZHM2VLSDVZemNMYmZFWnhaYm9rR1BaS0h6aTNvUXBFWkd5dFFNcTBMM2tOZ1ZVUXFGWENnYWg3ODhsTHQ1RWszWVFXOVVOek5vQkY2THVuamIwdDgxRGlPV2tCX1MwRS1PVlNsRVNDeFIwZ1FweDBrSzlxMEZ3?oc=5']",1
52,3,0.01,8540,2026-01-15T00:00:00,2026-01-16,"ICE arrests two Princeton residents (updated 5:30 p.m.) ⋆ Princeton, NJ local news % - Planet Princeton. ICE arrests two Princeton residents (updated 5:30 p.m.) ⋆ Princeton, NJ local news % Planet Pri",['Google News'],"['https://news.google.com/rss/articles/CBMilwFBVV95cUxQd21WaVpmcFNFNnVJeWNoQXJYWEpURUVpM2pQX2hsQ0FOU2RVUkNHQVg0MU9ya004Y0lpS1dDYzFrbzFpQy1uRzVwVUo0WExqVmRPeTFSNzJHV3JXMldZMkIyX2hIUHFIdVczZ1F4TVJVRGVfamxoNFROTnFFVlRnZXlROFpOclJJb05WWEQzVFhieUhjb1R30gGcAUFVX3lxTE9kLTYyY1JOTV9HLWtRcy0yN0kzVXlGcE1nTWVlU0hVQlVNTF9vdklXZENqUGxMM2FTRGNNZVRPWUNISGRQMzR2RHU1bW4wNmI5VnpOV1dzQ2kwRE1rTGNXV3p5dHJiYzlLeVo5bnJPM0QtNWExOUNkeHVmalU3cFR4ZUdlcHZEVEZTaTdzMVktUTlmTElFMHc2NVhXeQ?oc=5', 'https://news.google.com/rss/articles/CBMiqAFBVV95cUxQLWpEZ25CRURGRjhfanNMNW9Vb2Jrcjl4X1ZBRDZqM05pTFBZUVg5SmM4MEQ3anFkOXdzY0tMczRQN211amR4NVBWNnZQWmFCVDZQMFhjTjRuYkpVSWhmZThydnNRY2dqUDRfc2stLVlTQjh3aHhRM2U1Ui1jYjNDYUx5ZzZxbU1SaVJGNHVhMndJSkpwSHU0Mm9sMlVSaTdPUjV6eTRvUno?oc=5', 'https://news.google.com/rss/articles/CBMiWkFVX3lxTE1EcUVBbFpub3hkdERxM3Q5N3hqOGRmZEdsQUFUVndWdGZ5UGQ5cTJMaXVYUG9uQTN3OEhlUVVia3R4U2xjUFd3NWxsU1dJUkt5QnVDS2hibXluZw?oc=5']",1
74,2,0.01,7960,2026-01-13T00:00:00,2026-01-14,"ICE agents raid Morristown, NJ laundromat; community members speak out - ABC7 New York. ICE agents raid Morristown, NJ laundromat; community members speak out ABC7 New York",['Google News'],"['https://news.google.com/rss/articles/CBMinwFBVV95cUxOSGRPbW1ZMENqa3cwM25tU1o0ZGZBUFJzYVJpQmlkRXJaMG1iaFNUcldrcEhyV1V0TzA4NVdsVVdFbDNjRXVLWEZwWEk3NGtkdVpEd2t2Mm1ObEdQWDQ4MzZmQ1BYSF8wWDhDQk8xTFZ6Wk1uOXB5dFBLRkxLMGdMaUV4RHlZXzVueTFoNjBtUmMwTWV6eklPazlYUDhtd1nSAaQBQVVfeXFMUFdNenlvajZVbUsyY29fM2dZS0N4cTBEdVQtekFaVGI4ZHhFNnN1c3FXSmRiZk5HeUlxRlBENUlnNUdtVlBqZmN0QU4zRWk2SVRGLWxZRk13Y000cU15dzFDSWlCb3N3WlZmOTlCeGRlZURsTjFyVVpwU3FOUklPd3pZWHFKZDhlX3o2RnBUaUk1UEg3X3Z2c20tc1EtV2hnUDl0aEU?oc=5', 'https://news.google.com/rss/articles/CBMioAFBVV95cUxNY3JFTUVRTHRuQmlJMl9UVkZYcnRTaEpFMjV3MEhhUlMzU2lFbGd5alNzNTJnRTd1NkxyUzNHaXRtZlpzRGlrcnpqeUMwX1JFNjZyT1pDc0NhdGQwZDBoQkU4REx3enljb0dmb0tJYmNFZkZQbkRVQkZBR0MzR3NITkEtQklCZ1FkQTA0SV92OEJtcHlqUDc5Nm85c2EtZGcw0gGmAUFVX3lxTE5Zc3VNQjJBT0hEYldrdUswVGZnbl9lR1NFd0tRbkZwOFZ0cW5BX2NQZVBqU2hoUElFLWlTMHF5UTRPM0ZCS016di1iQThrcW4yeDYxdGRxOUxQWjBlSHRiWWs4aldOZ3RQam5rWUVoTzNfUV9iZHpDUWdCeUg3VF9BQkdjWW13YlpOc3d6djQ3YUFkRkFaNFhocHVVNXdsT1VvZzdwMXc?oc=5']",2
72,2,0.01,7960,2026-01-12T00:00:00,2026-01-15,ICE says 11 arrested in Morristown raid face deportation - Morris County NJ News | Daily Record. ICE says 11 arrested in Morristown raid face deportation Morris County NJ News | Daily Record,['Google News'],"['https://news.google.com/rss/articles/CBMipAFBVV95cUxONmloMnkzQmlHNW42SHkxRnMza3J3X2J4dzNTRzl1VHNuaV9raVhKSkpGM0t0bFEzcDRTbVlIUWFEZDhIcmRrYThpUjRNTlRUUU00bWczZy1fZVFRV2VvYkh3Z2hXeDhzSjNXTGlJbVNNdExzVm11Y3Ewc3ZwWnhHaVFYS2U5Q2xmZ2wzODl3SUlpOERMQzNQT1BuVTZrLU9FdmQ0WQ?oc=5', 'https://news.google.com/rss/articles/CBMimAFBVV95cUxQTjQ0c2dRc3Z3N3liR1FINDgza1BwRzRNSkhzcDd0VHowZXVjS1duWVkxM2F6aEQwdjM1aXZFUmlzcS1YTTJMVTNyQ25LZGtXaDBwRXAzd0JYSWJkQzVmZ3Q4WnZCejJCVGtQWTNOQzhwbi1kTWxMclJ4M2dtTERMSXNVUWVHOFJGdTkzVzVUaE11aWhnRXJYeg?oc=5']",1
20,2,0.01,7060,2026-01-14T00:00:00,2026-01-14,NJ Democrats demand ICE cease plans for Roxbury detention center - New Jersey Monitor. NJ Democrats demand ICE cease plans for Roxbury detention center New Jersey Monitor,['Google News'],"['https://news.google.com/rss/articles/CBMieEFVX3lxTE9nRFd5TG1yUEFmMzYxdE5qODVPUG9Rakh3MXo0Ri1ZZWhGRndxQ3hFZ09RNTlpQ3VvT1pDT2lfT1N0NGRyWFNQQnNpc2hpYUJMRzRnVml1Sm5qbzNubjEtSXNzemVPUGxCbW1pZXNNMGhXMW1PWS1UVA?oc=5', 'https://news.google.com/rss/articles/CBMiqAFBVV95cUxPNkJJbXVyYVh5R2NJajhrclBBMW44YjdoRS1iSG55ZWVMcHRNeDlzcC1BWVpjUzRXd1ZONEhuUTJzVDRBTHhKTzh4X21YWXYtNllMZU52M2JTUjA3Vm52cFpNdWRFSVpUM3FOcVZMZVMzUG1uLVkxcjdFdS0tZnJuSGZaUHZIR3FQTjZxSFBPcWdlSlVDM0VNcENDQllFQ1hUY3cxVkcyMk4?oc=5']",1
5,2,0.01,7060,2026-01-12T00:00:00,2026-01-17,ICE MOVES TO DEPORT RED BANK'S BICYCLING LANDSCAPER - Red Bank Green. ICE MOVES TO DEPORT RED BANK'S BICYCLING LANDSCAPER Red Bank Green,['Google News'],"['https://news.google.com/rss/articles/CBMiigFBVV95cUxOZnV1ZDIxdHp1NVNmRFpZN3NkWUZMRTMxV194MjZrOWhreTJyVTNKU0pSdGxIc0dJektkNlJ3UG5KSzllZW5DX29jTkxrOGJuWW9aRFZOcUd5bk5NSlEzTEJ6dkdhbk9iVU9INi1HX3dtZjlSV0NjVG4tX3Y4amdnLUdlbzR1NmZRRGc?oc=5', 'https://news.google.com/rss/articles/CBMieEFVX3lxTE1YQno2RnF2SGE0QXIwM1N1NzdCUHNZR1U3S0VTVHJPMmQ0bzBkVmhOVHE3cExDeE8tTldyaUlvRG9GR0dCMS1VdGdwcjI0Z0lKYmpMSV9VY1Z4bjVNdjhVWDNialNxdDNySnE0OEk2M1VWX1RQQ3R6Tg?oc=5']",2
86,3,0.01,7060,2025-04-28T00:00:00,2026-01-14,"Trump threatening ""significant"" cuts in federal funding to states with sanctuary cities - cbsnews.com. Trump threatening ""significant"" cuts in federal funding to states with sanctuary cities cbsnews.c",['Google News'],"['https://news.google.com/rss/articles/CBMioAFBVV95cUxPanJyVkhxZ1RCaE9ONzJGeVhWdzhDRmhjN08tNkk0VGs1UzVJQnZXOENkMXJWS2NlZkw0TUlsSUVfX0Z6VXl6enF4eWYwRDN3UHBaSFl0SlZJdFdQNTY1cnhjR2M5Vm1QN3dRM3JEb1ZZbWhkMGxxM2hXN1R2OTNKWU13T1dGblJVX293V294NkJLTFNrc3pWVHpkTDdENnhv?oc=5', 'https://news.google.com/rss/articles/CBMinwFBVV95cUxQclVhYUhGUG4zajZ1WHFfTE40X0RxZHpmQUtUX0lyaXVqX2pYUGM3Qy13b3VNTnFUZDdpSU5zai1icTR2cnpsSlZqNXlfNFNUNEpGWDlTTEV2cVFqQjBnNzJoOUktSkhOUzV3bFNjRW1hbVdnRlFsbUllVWRyUWJXRWdoQk9nUlNGT2lsQTVVVDEwMm9VLUJETW5xd0Z2eWM?oc=5', 'https://news.google.com/rss/articles/CBMiwgFBVV95cUxOQlVSQjlBajJhNzMzUkxmbDZWZkQ5WXJPd2J5VlJNd1V5bE9PdDVzSlBhRTNORTIzVUhFcXFibS04aGZTVU54UUs3MXJ1eGk1SDFlUktLZUgtVGo0SDVHMjM5VGlKeEhHV2d1NkZ2RWtsa2txSG1qN3hoR01VRHpQalFvVElkWXdYaEtGRmVBb0x4NjA5TjRMNUNHYTB0dDA4VHNlMHNvbXFwb0FxdFo1OExwWHp2SWo3N2k5aGhBajZCdw?oc=5']",1
71,2,0.01,7960,2026-01-12T00:00:00,2026-01-15,Morristown High School student taken into custody in ICE raid on Speedwell Avenue - New Jersey Hills Media Group. Morristown High School student taken into custody in ICE raid on Speedwell Avenue New ,['Google News'],"['https://news.google.com/rss/articles/CBMikAJBVV95cUxNeVlRTFdFZHNxVXdLb0xtTGxrZ1BqOW9zbnhtOUhrZ05DQm4xdmkwdWd2VGRMLVdKVGxoT3pxdkQ4bUtKckI0dDBZUkR0MkFHYVR0TUVSM2FWWmJsQmNVd0MtRHpON09wQjBZbFE3ZVktTURIdWhqNWZKNUR0NEo5UTdOSUVwTGpLUnN3ZmFWNUhhX1VHSUh3SV9TYXhBX0JkM1ZTV0JSVG10VEMzWUJmM1BpWTlBcmtUU1duTnhqOWRHUms1aUlWX09IcHlpbS15LXRyMGNycGRMaU1jUVFVbFd6UzUtOHUzMFBlcWNWSFZWZjhLMGI2S3BmWnlxNjRnMVdLdzBsOGNjcWN0dVR5QQ?oc=5', 'https://news.google.com/rss/articles/CBMinwFBVV95cUxPY2hyQWlQaUNpWjRJV0VtX2dVRHktQ3M1SmFoNFg3b3dMUTZxazhRbGNKT3N3Q2VZeXQtMUhiQXhraWV1NTdFX0FjU1hOczBLWVpUSGQxV01RaVNQMVVsTlUtaUtjdWxjeGREUTNnNmNqeV9SUDF4U0VHdzRxOHB3Rno5eV9nN1c0eHowVURydW9iNlkwckQycElTTlRERVU?oc=5']",1
